n,k,p,seed,total,depth
5,1,8,9,2761,34
5,1,9,0,3091,38
5,1,9,1,3091,38
5,1,9,3,3091,38
5,1,9,2,3091,38
5,1,9,4,3091,38
5,1,9,5,3091,38
5,1,9,6,3091,38
5,1,9,7,3091,38
5,1,9,8,3091,38
5,1,9,9,3091,38
5,1,10,0,3421,42
5,1,10,1,3421,42
5,1,10,2,3421,42
5,1,10,3,3421,42
5,1,10,4,3421,42
5,1,10,5,3421,42
5,1,10,6,3421,42
5,1,10,7,3421,42
5,1,10,8,3421,42
5,1,11,0,3751,46
5,1,10,9,3421,42
5,1,11,1,3751,46
5,1,11,2,3751,46
5,1,11,3,3751,46
5,1,11,4,3751,46
5,1,11,5,3751,46
5,1,11,6,3751,46
5,1,11,8,3751,46
5,1,11,7,3751,46
5,1,11,9,3751,46
5,1,12,0,4081,50
5,1,12,1,4081,50
5,1,12,2,4081,50
5,1,12,3,4081,50
5,1,12,4,4081,50
5,1,12,6,4081,50
5,1,12,5,4081,50
5,1,12,7,4081,50
5,1,12,8,4081,50
5,1,12,9,4081,50
5,1,13,0,4411,54
5,1,13,1,4411,54
5,1,13,2,4411,54
5,1,13,3,4411,54
5,1,13,4,4411,54
5,1,13,5,4411,54
5,1,13,6,4411,54
5,1,13,7,4411,54
5,1,13,8,4411,54
5,1,13,9,4411,54
5,1,14,0,4741,58
5,1,14,1,4741,58
5,1,14,2,4741,58
5,1,14,3,4741,58
5,1,14,4,4741,58
5,1,14,5,4741,58
5,1,14,6,4741,58
5,1,14,7,4741,58
5,1,14,9,4741,58
5,1,14,8,4741,58
5,1,15,0,5071,62
5,1,15,1,5071,62
5,1,15,2,5071,62
5,1,15,3,5071,62
5,1,15,4,5071,62
5,1,15,5,5071,62
5,1,15,7,5071,62
5,1,15,6,5071,62
5,1,15,8,5071,62
5,1,15,9,5071,62
5,1,16,0,5401,66
5,1,16,1,5401,66
5,1,16,2,5401,66
5,1,16,3,5401,66
5,1,16,4,5401,66
5,1,16,5,5401,66
5,1,16,6,5401,66
5,1,16,7,5401,66
5,1,16,8,5401,66
5,1,16,9,5401,66
5,1,17,0,5731,70
5,1,17,1,5731,70
5,1,17,2,5731,70
5,1,17,3,5731,70
5,1,17,4,5731,70
5,1,17,5,5731,70
5,1,17,6,5731,70
5,1,17,7,5731,70
5,1,17,8,5731,70
5,1,17,9,5731,70
5,1,18,0,6061,74
5,1,18,1,6061,74
5,1,18,2,6061,74
5,1,18,3,6061,74
5,1,18,4,6061,74
5,1,18,5,6061,74
5,1,18,6,6061,74
5,1,18,7,6061,74
5,1,18,8,6061,74
5,1,18,9,6061,74
5,1,19,0,6391,78
5,1,19,1,6391,78
5,1,19,2,6391,78
5,1,19,3,6391,78
5,1,19,4,6391,78
5,1,19,5,6391,78
5,1,19,6,6391,78
5,1,19,8,6391,78
5,1,19,7,6391,78
5,1,19,9,6391,78
5,1,20,0,6721,82
5,1,20,1,6721,82
5,1,20,2,6721,82
5,1,20,3,6721,82
5,1,20,4,6721,82
5,1,20,5,6721,82
5,1,20,6,6721,82
5,1,20,7,6721,82
5,1,20,8,6721,82
5,1,20,9,6721,82
5,1,21,0,7051,86
5,1,21,1,7051,86
5,1,21,2,7051,86
5,1,21,4,7051,86
5,1,21,3,7051,86
5,1,21,5,7051,86
5,1,21,6,7051,86
5,1,21,7,7051,86
5,1,21,8,7051,86
5,1,21,9,7051,86
5,1,22,0,7381,90
5,1,22,1,7381,90
5,1,22,2,7381,90
5,1,22,3,7381,90
5,1,22,4,7381,90
5,1,22,5,7381,90
5,1,22,6,7381,90
5,1,22,7,7381,90
5,1,22,8,7381,90
5,1,23,0,7711,94
5,1,22,9,7381,90
5,1,23,1,7711,94
5,1,23,2,7711,94
5,1,23,3,7711,94
5,1,23,4,7711,94
5,1,23,5,7711,94
5,1,23,6,7711,94
5,1,23,7,7711,94
5,1,23,8,7711,94
5,1,23,9,7711,94
5,1,24,0,8041,98
5,1,24,1,8041,98
5,1,24,2,8041,98
5,1,24,3,8041,98
5,1,24,4,8041,98
5,1,24,6,8041,98
5,1,24,5,8041,98
5,1,24,7,8041,98
5,1,24,8,8041,98
5,1,24,9,8041,98
5,2,5,0,1771,22
5,2,5,1,1771,22
5,2,5,2,1771,22
5,2,5,3,1771,22
5,2,5,4,1771,22
5,2,5,5,1771,22
5,2,5,6,1771,22
5,2,5,7,1771,22
5,2,5,8,1771,22
5,2,6,0,2101,26
5,2,5,9,1771,22
5,2,6,1,2101,26
5,2,6,2,2101,26
5,2,6,3,2101,26
5,2,6,4,2101,26
5,2,6,5,2101,26
5,2,6,6,2101,26
5,2,6,8,2101,26
5,2,6,7,2101,26
5,2,6,9,2101,26
5,2,7,0,2431,30
5,2,7,1,2431,30
5,2,7,2,2431,30
5,2,7,3,2431,30
5,2,7,4,2431,30
5,2,7,5,2431,30
5,2,7,6,2431,30
5,2,7,7,2431,30
5,2,7,8,2431,30
5,2,7,9,2431,30
5,2,8,0,2761,34
5,2,8,1,2761,34
5,2,8,2,2761,34
5,2,8,3,2761,34
5,2,8,4,2761,34
5,2,8,5,2761,34
5,2,8,6,2761,34
5,2,8,7,2761,34
5,2,8,8,2761,34
5,2,8,9,2761,34
5,2,9,0,3091,38
5,2,9,1,3091,38
5,2,9,2,3091,38
5,2,9,3,3091,38
5,2,9,4,3091,38
5,2,9,5,3091,38
5,2,9,6,3091,38
5,2,9,7,3091,38
5,2,9,8,3091,38
5,2,9,9,3091,38
5,2,10,0,3421,42
5,2,10,1,3421,42
5,2,10,2,3421,42
5,2,10,3,3421,42
5,2,10,4,3421,42
5,2,10,5,3421,42
5,2,10,6,3421,42
5,2,10,7,3421,42
5,2,10,8,3421,42
5,2,10,9,3421,42
5,2,11,0,3751,46
5,2,11,1,3751,46
5,2,11,2,3751,46
5,2,11,3,3751,46
5,2,11,4,3751,46
5,2,11,5,3751,46
5,2,11,6,3751,46
5,2,11,7,3751,46
5,2,11,8,3751,46
5,2,11,9,3751,46
5,2,12,0,4081,50
5,2,12,1,4081,50
5,2,12,2,4081,50
5,2,12,3,4081,50
5,2,12,4,4081,50
5,2,12,5,4081,50
5,2,12,6,4081,50
5,2,12,7,4081,50
5,2,12,8,4081,50
5,2,12,9,4081,50
5,2,13,0,4411,54
5,2,13,1,4411,54
5,2,13,2,4411,54
5,2,13,3,4411,54
5,2,13,4,4411,54
5,2,13,5,4411,54
5,2,13,6,4411,54
5,2,13,7,4411,54
5,2,13,8,4411,54
5,2,13,9,4411,54
5,2,14,0,4741,58
5,2,14,1,4741,58
5,2,14,2,4741,58
5,2,14,3,4741,58
5,2,14,4,4741,58
5,2,14,5,4741,58
5,2,14,6,4741,58
5,2,14,8,4741,58
5,2,14,7,4741,58
5,2,14,9,4741,58
5,2,15,0,5071,62
5,2,15,1,5071,62
5,2,15,2,5071,62
5,2,15,3,5071,62
5,2,15,4,5071,62
5,2,15,5,5071,62
5,2,15,6,5071,62
5,2,15,7,5071,62
5,2,15,8,5071,62
5,2,15,9,5071,62
5,2,16,0,5401,66
5,2,16,1,5401,66
5,2,16,2,5401,66
5,2,16,4,5401,66
5,2,16,3,5401,66
5,2,16,5,5401,66
5,2,16,6,5401,66
5,2,16,7,5401,66
5,2,16,8,5401,66
5,2,16,9,5401,66
5,2,17,0,5731,70
5,2,17,1,5731,70
5,2,17,2,5731,70
5,2,17,3,5731,70
5,2,17,4,5731,70
5,2,17,5,5731,70
5,2,17,6,5731,70
5,2,17,7,5731,70
5,2,17,8,5731,70
5,2,17,9,5731,70
5,2,18,1,6061,74
5,2,18,0,6061,74
5,2,18,2,6061,74
5,2,18,3,6061,74
5,2,18,4,6061,74
5,2,18,5,6061,74
5,2,18,6,6061,74
5,2,18,8,6061,74
5,2,18,7,6061,74
5,2,18,9,6061,74
5,2,19,0,6391,78
5,2,19,1,6391,78
5,2,19,2,6391,78
5,2,19,3,6391,78
5,2,19,4,6391,78
5,2,19,5,6391,78
5,2,19,6,6391,78
5,2,19,7,6391,78
5,2,19,8,6391,78
5,2,19,9,6391,78
5,2,20,0,6721,82
5,2,20,1,6721,82
5,2,20,2,6721,82
5,2,20,4,6721,82
5,2,20,3,6721,82
5,2,20,5,6721,82
5,2,20,6,6721,82
5,2,20,7,6721,82
5,2,20,8,6721,82
5,2,20,9,6721,82
5,2,21,0,7051,86
5,2,21,1,7051,86
5,2,21,2,7051,86
5,2,21,3,7051,86
5,2,21,5,7051,86
5,2,21,4,7051,86
5,2,21,6,7051,86
5,2,21,7,7051,86
5,2,21,8,7051,86
5,2,22,0,7381,90
5,2,21,9,7051,86
5,2,22,2,7381,90
5,2,22,3,7381,90
5,2,22,1,7381,90
5,2,22,4,7381,90
5,2,22,5,7381,90
5,2,22,6,7381,90
5,2,22,7,7381,90
5,2,22,8,7381,90
5,2,22,9,7381,90
5,2,23,1,7711,94
5,2,23,0,7711,94
5,2,23,2,7711,94
5,2,23,3,7711,94
5,2,23,4,7711,94
5,2,23,6,7711,94
5,2,23,5,7711,94
5,2,23,8,7711,94
5,2,23,9,7711,94
5,2,23,7,7711,94
5,2,24,0,8041,98
5,2,24,1,8041,98
5,2,24,3,8041,98
5,2,24,2,8041,98
5,2,24,4,8041,98
5,2,24,5,8041,98
5,2,24,7,8041,98
5,2,24,6,8041,98
5,2,24,8,8041,98
5,2,24,9,8041,98
5,3,5,0,1771,22
5,3,5,1,1771,22
5,3,5,2,1771,22
5,3,5,3,1771,22
5,3,5,4,1771,22
5,3,5,5,1771,22
5,3,5,6,1771,22
5,3,5,7,1771,22
5,3,5,9,1771,22
5,3,5,8,1771,22
5,3,6,0,2101,26
5,3,6,1,2101,26
5,3,6,2,2101,26
5,3,6,3,2101,26
5,3,6,4,2101,26
5,3,6,5,2101,26
5,3,6,6,2101,26
5,3,6,7,2101,26
5,3,6,8,2101,26
5,3,6,9,2101,26
5,3,7,0,2431,30
5,3,7,2,2431,30
5,3,7,1,2431,30
5,3,7,3,2431,30
5,3,7,5,2431,30
5,3,7,6,2431,30
5,3,7,4,2431,30
5,3,7,7,2431,30
5,3,7,8,2431,30
5,3,7,9,2431,30
5,3,8,0,2761,34
5,3,8,1,2761,34
5,3,8,2,2761,34
5,3,8,3,2761,34
5,3,8,4,2761,34
5,3,8,5,2761,34
5,3,8,6,2761,34
5,3,8,7,2761,34
5,3,8,8,2761,34
5,3,8,9,2761,34
5,3,9,0,3091,38
5,3,9,1,3091,38
5,3,9,2,3091,38
5,3,9,3,3091,38
5,3,9,4,3091,38
5,3,9,5,3091,38
5,3,9,6,3091,38
5,3,9,7,3091,38
5,3,9,8,3091,38
5,3,9,9,3091,38
5,3,10,0,3421,42
5,3,10,1,3421,42
5,3,10,2,3421,42
5,3,10,3,3421,42
5,3,10,4,3421,42
5,3,10,5,3421,42
5,3,10,6,3421,42
5,3,10,7,3421,42
5,3,10,8,3421,42
5,3,10,9,3421,42
5,3,11,0,3751,46
5,3,11,1,3751,46
5,3,11,2,3751,46
5,3,11,3,3751,46
5,3,11,4,3751,46
5,3,11,5,3751,46
5,3,11,6,3751,46
5,3,11,7,3751,46
5,3,11,8,3751,46
5,3,11,9,3751,46
5,3,12,0,4081,50
5,3,12,1,4081,50
5,3,12,2,4081,50
5,3,12,3,4081,50
5,3,12,4,4081,50
5,3,12,5,4081,50
5,3,12,6,4081,50
5,3,12,7,4081,50
5,3,12,8,4081,50
5,3,12,9,4081,50
5,3,13,0,4411,54
5,3,13,1,4411,54
5,3,13,2,4411,54
5,3,13,3,4411,54
5,3,13,4,4411,54
5,3,13,5,4411,54
5,3,13,6,4411,54
5,3,13,7,4411,54
5,3,13,8,4411,54
5,3,13,9,4411,54
5,3,14,0,4741,58
5,3,14,1,4741,58
5,3,14,2,4741,58
5,3,14,3,4741,58
5,3,14,4,4741,58
5,3,14,5,4741,58
5,3,14,6,4741,58
5,3,14,7,4741,58
5,3,14,8,4741,58
5,3,14,9,4741,58
5,3,15,0,5071,62
5,3,15,1,5071,62
5,3,15,2,5071,62
5,3,15,3,5071,62
5,3,15,4,5071,62
5,3,15,5,5071,62
5,3,15,6,5071,62
5,3,15,7,5071,62
5,3,15,8,5071,62
5,3,15,9,5071,62
5,3,16,0,5401,66
5,3,16,1,5401,66
5,3,16,3,5401,66
5,3,16,2,5401,66
5,3,16,4,5401,66
5,3,16,5,5401,66
5,3,16,6,5401,66
5,3,16,7,5401,66
5,3,16,8,5401,66
5,3,16,9,5401,66
5,3,17,0,5731,70
5,3,17,1,5731,70
5,3,17,2,5731,70
5,3,17,3,5731,70
5,3,17,4,5731,70
5,3,17,6,5731,70
5,3,17,5,5731,70
5,3,17,8,5731,70
5,3,17,7,5731,70
5,3,17,9,5731,70
5,3,18,0,6061,74
5,3,18,1,6061,74
5,3,18,2,6061,74
5,3,18,3,6061,74
5,3,18,4,6061,74
5,3,18,5,6061,74
5,3,18,6,6061,74
5,3,18,7,6061,74
5,3,18,8,6061,74
5,3,18,9,6061,74
5,3,19,0,6391,78
5,3,19,1,6391,78
5,3,19,2,6391,78
5,3,19,3,6391,78
5,3,19,4,6391,78
5,3,19,5,6391,78
5,3,19,6,6391,78
5,3,19,7,6391,78
5,3,19,8,6391,78
5,3,19,9,6391,78
5,3,20,0,6721,82
5,3,20,1,6721,82
5,3,20,2,6721,82
5,3,20,3,6721,82
5,3,20,4,6721,82
5,3,20,5,6721,82
5,3,20,6,6721,82
5,3,20,7,6721,82
5,3,20,8,6721,82
5,3,20,9,6721,82
5,3,21,0,7051,86
5,3,21,1,7051,86
5,3,21,2,7051,86
5,3,21,3,7051,86
5,3,21,4,7051,86
5,3,21,5,7051,86
5,3,21,6,7051,86
5,3,21,7,7051,86
5,3,21,8,7051,86
5,3,21,9,7051,86
5,3,22,0,7381,90
5,3,22,1,7381,90
5,3,22,2,7381,90
5,3,22,3,7381,90
5,3,22,4,7381,90
5,3,22,5,7381,90
5,3,22,7,7381,90
5,3,22,6,7381,90
5,3,22,8,7381,90
5,3,22,9,7381,90
5,3,23,0,7711,94
5,3,23,1,7711,94
5,3,23,2,7711,94
5,3,23,3,7711,94
5,3,23,5,7711,94
5,3,23,4,7711,94
5,3,23,6,7711,94
5,3,23,7,7711,94
5,3,23,8,7711,94
5,3,23,9,7711,94
5,3,24,0,8041,98
5,3,24,1,8041,98
5,3,24,2,8041,98
5,3,24,4,8041,98
5,3,24,3,8041,98
5,3,24,5,8041,98
5,3,24,6,8041,98
5,3,24,7,8041,98
5,3,24,8,8041,98
5,3,24,9,8041,98
5,4,5,0,1771,22
5,4,5,1,1771,22
5,4,5,2,1771,22
5,4,5,3,1771,22
5,4,5,4,1771,22
5,4,5,5,1771,22
5,4,5,6,1771,22
5,4,5,7,1771,22
5,4,5,8,1771,22
5,4,5,9,1771,22
5,4,6,0,2101,26
5,4,6,1,2101,26
5,4,6,2,2101,26
5,4,6,3,2101,26
5,4,6,4,2101,26
5,4,6,6,2101,26
5,4,6,5,2101,26
5,4,6,7,2101,26
5,4,6,8,2101,26
5,4,6,9,2101,26
5,4,7,0,2431,30
5,4,7,1,2431,30
5,4,7,2,2431,30
5,4,7,5,2431,30
5,4,7,4,2431,30
5,4,7,3,2431,30
5,4,7,6,2431,30
5,4,7,7,2431,30
5,4,7,8,2431,30
5,4,7,9,2431,30
5,4,8,0,2761,34
5,4,8,2,2761,34
5,4,8,1,2761,34
5,4,8,3,2761,34
5,4,8,4,2761,34
5,4,8,5,2761,34
5,4,8,6,2761,34
5,4,8,7,2761,34
5,4,8,8,2761,34
5,4,8,9,2761,34
5,4,9,0,3091,38
5,4,9,1,3091,38
5,4,9,2,3091,38
5,4,9,3,3091,38
5,4,9,4,3091,38
5,4,9,6,3091,38
5,4,9,5,3091,38
5,4,9,7,3091,38
5,4,9,8,3091,38
5,4,9,9,3091,38
5,4,10,0,3421,42
5,4,10,1,3421,42
5,4,10,2,3421,42
5,4,10,4,3421,42
5,4,10,3,3421,42
5,4,10,5,3421,42
5,4,10,6,3421,42
5,4,10,7,3421,42
5,4,10,8,3421,42
5,4,10,9,3421,42
5,4,11,0,3751,46
5,4,11,1,3751,46
5,4,11,2,3751,46
5,4,11,3,3751,46
5,4,11,4,3751,46
5,4,11,5,3751,46
5,4,11,6,3751,46
5,4,11,7,3751,46
5,4,11,8,3751,46
5,4,11,9,3751,46
5,4,12,0,4081,50
5,4,12,1,4081,50
5,4,12,2,4081,50
5,4,12,3,4081,50
5,4,12,4,4081,50
5,4,12,5,4081,50
5,4,12,6,4081,50
5,4,12,7,4081,50
5,4,12,8,4081,50
5,4,12,9,4081,50
5,4,13,0,4411,54
5,4,13,1,4411,54
5,4,13,2,4411,54
5,4,13,3,4411,54
5,4,13,4,4411,54
5,4,13,5,4411,54
5,4,13,6,4411,54
5,4,13,7,4411,54
5,4,13,8,4411,54
5,4,14,0,4741,58
5,4,13,9,4411,54
5,4,14,1,4741,58
5,4,14,2,4741,58
5,4,14,3,4741,58
5,4,14,4,4741,58
5,4,14,5,4741,58
5,4,14,6,4741,58
5,4,14,8,4741,58
5,4,14,7,4741,58
5,4,14,9,4741,58
5,4,15,0,5071,62
5,4,15,1,5071,62
5,4,15,2,5071,62
5,4,15,3,5071,62
5,4,15,4,5071,62
5,4,15,6,5071,62
5,4,15,5,5071,62
5,4,15,7,5071,62
5,4,15,8,5071,62
5,4,15,9,5071,62
5,4,16,0,5401,66
5,4,16,1,5401,66
5,4,16,2,5401,66
5,4,16,3,5401,66
5,4,16,4,5401,66
5,4,16,5,5401,66
5,4,16,6,5401,66
5,4,16,7,5401,66
5,4,16,8,5401,66
5,4,16,9,5401,66
5,4,17,0,5731,70
5,4,17,1,5731,70
5,4,17,2,5731,70
5,4,17,3,5731,70
5,4,17,4,5731,70
5,4,17,5,5731,70
5,4,17,6,5731,70
5,4,17,7,5731,70
5,4,17,8,5731,70
5,4,17,9,5731,70
5,4,18,0,6061,74
5,4,18,1,6061,74
5,4,18,2,6061,74
5,4,18,3,6061,74
5,4,18,4,6061,74
5,4,18,5,6061,74
5,4,18,7,6061,74
5,4,18,6,6061,74
5,4,18,8,6061,74
5,4,18,9,6061,74
5,4,19,0,6391,78
5,4,19,1,6391,78
5,4,19,2,6391,78
5,4,19,3,6391,78
5,4,19,5,6391,78
5,4,19,4,6391,78
5,4,19,6,6391,78
5,4,19,7,6391,78
5,4,19,8,6391,78
5,4,19,9,6391,78
5,4,20,0,6721,82
5,4,20,1,6721,82
5,4,20,2,6721,82
5,4,20,3,6721,82
5,4,20,4,6721,82
5,4,20,5,6721,82
5,4,20,6,6721,82
5,4,20,7,6721,82
5,4,20,8,6721,82
5,4,20,9,6721,82
5,4,21,1,7051,86
5,4,21,0,7051,86
5,4,21,2,7051,86
5,4,21,3,7051,86
5,4,21,4,7051,86
5,4,21,5,7051,86
5,4,21,6,7051,86
5,4,21,7,7051,86
5,4,21,9,7051,86
5,4,21,8,7051,86
5,4,22,0,7381,90
5,4,22,1,7381,90
5,4,22,2,7381,90
5,4,22,3,7381,90
5,4,22,4,7381,90
5,4,22,5,7381,90
5,4,22,7,7381,90
5,4,22,6,7381,90
5,4,22,8,7381,90
5,4,22,9,7381,90
5,4,23,0,7711,94
5,4,23,1,7711,94
5,4,23,3,7711,94
5,4,23,2,7711,94
5,4,23,5,7711,94
5,4,23,4,7711,94
5,4,23,6,7711,94
5,4,23,7,7711,94
5,4,23,8,7711,94
5,4,23,9,7711,94
5,4,24,0,8041,98
5,4,24,1,8041,98
5,4,24,2,8041,98
5,4,24,3,8041,98
5,4,24,4,8041,98
5,4,24,5,8041,98
5,4,24,6,8041,98
5,4,24,7,8041,98
5,4,24,9,8041,98
5,4,24,8,8041,98
6,1,5,0,3643,24
6,1,5,1,3643,24
6,1,5,2,3643,24
6,1,5,3,3643,24
6,1,5,4,3643,24
6,1,5,5,3643,24
6,1,5,6,3643,24
6,1,5,7,3643,24
6,1,5,8,3643,24
6,1,5,9,3643,24
6,1,6,0,4321,28
6,1,6,1,4321,28
6,1,6,2,4321,28
6,1,6,3,4321,28
6,1,6,4,4321,28
6,1,6,5,4321,28
6,1,6,6,4321,28
6,1,6,7,4321,28
6,1,6,8,4321,28
6,1,6,9,4321,28
6,1,7,0,4999,32
6,1,7,1,4999,32
6,1,7,2,4999,32
6,1,7,3,4999,32
6,1,7,4,4999,32
6,1,7,5,4999,32
6,1,7,6,4999,32
6,1,7,7,4999,32
6,1,7,8,4999,32
6,1,7,9,4999,32
6,1,8,0,5677,36
6,1,8,1,5677,36
6,1,8,2,5677,36
6,1,8,3,5677,36
6,1,8,4,5677,36
6,1,8,5,5677,36
6,1,8,6,5677,36
6,1,8,8,5677,36
6,1,8,7,5677,36
6,1,8,9,5677,36
6,1,9,0,6355,40
6,1,9,1,6355,40
6,1,9,2,6355,40
6,1,9,3,6355,40
6,1,9,4,6355,40
6,1,9,6,6355,40
6,1,9,5,6355,40
6,1,9,7,6355,40
6,1,9,8,6355,40
6,1,9,9,6355,40
6,1,10,0,7033,44
6,1,10,1,7033,44
6,1,10,2,7033,44
6,1,10,3,7033,44
6,1,10,5,7033,44
6,1,10,4,7033,44
6,1,10,6,7033,44
6,1,10,7,7033,44
6,1,10,8,7033,44
6,1,10,9,7033,44
6,1,11,0,7711,48
6,1,11,1,7711,48
6,1,11,2,7711,48
6,1,11,3,7711,48
6,1,11,4,7711,48
6,1,11,5,7711,48
6,1,11,6,7711,48
6,1,11,7,7711,48
6,1,11,8,7711,48
6,1,11,9,7711,48
6,1,12,0,8389,52
6,1,12,1,8389,52
6,1,12,2,8389,52
6,1,12,3,8389,52
6,1,12,4,8389,52
6,1,12,5,8389,52
6,1,12,6,8389,52
6,1,12,7,8389,52
6,1,12,8,8389,52
6,1,12,9,8389,52
6,1,13,0,9067,56
6,1,13,1,9067,56
6,1,13,2,9067,56
6,1,13,3,9067,56
6,1,13,4,9067,56
6,1,13,5,9067,56
6,1,13,6,9067,56
6,1,13,7,9067,56
6,1,13,8,9067,56
6,1,13,9,9067,56
6,1,14,0,9745,60
6,1,14,1,9745,60
6,1,14,2,9745,60
6,1,14,4,9745,60
6,1,14,3,9745,60
6,1,14,5,9745,60
6,1,14,6,9745,60
6,1,14,7,9745,60
6,1,14,8,9745,60
6,1,14,9,9745,60
6,1,15,0,10423,64
6,1,15,1,10423,64
6,1,15,2,10423,64
6,1,15,3,10423,64
6,1,15,4,10423,64
6,1,15,5,10423,64
6,1,15,6,10423,64
6,1,15,7,10423,64
6,1,15,8,10423,64
6,1,15,9,10423,64
6,1,16,0,11101,68
6,1,16,1,11101,68
6,1,16,2,11101,68
6,1,16,3,11101,68
6,1,16,4,11101,68
6,1,16,5,11101,68
6,1,16,6,11101,68
6,1,16,7,11101,68
6,1,16,8,11101,68
6,1,16,9,11101,68
6,1,17,0,11779,72
6,1,17,1,11779,72
6,1,17,2,11779,72
6,1,17,3,11779,72
6,1,17,4,11779,72
6,1,17,5,11779,72
6,1,17,6,11779,72
6,1,17,7,11779,72
6,1,17,8,11779,72
6,1,17,9,11779,72
6,1,18,0,12457,76
6,1,18,1,12457,76
6,1,18,2,12457,76
6,1,18,3,12457,76
6,1,18,4,12457,76
6,1,18,5,12457,76
6,1,18,6,12457,76
6,1,18,7,12457,76
6,1,18,8,12457,76
6,1,18,9,12457,76
6,1,19,0,13135,80
6,1,19,2,13135,80
6,1,19,1,13135,80
6,1,19,3,13135,80
6,1,19,4,13135,80
6,1,19,5,13135,80
6,1,19,6,13135,80
6,1,19,7,13135,80
6,1,19,8,13135,80
6,1,19,9,13135,80
6,1,20,0,13813,84
6,1,20,1,13813,84
6,1,20,2,13813,84
6,1,20,3,13813,84
6,1,20,4,13813,84
6,1,20,5,13813,84
6,1,20,6,13813,84
6,1,20,8,13813,84
6,1,20,7,13813,84
6,1,20,9,13813,84
6,1,21,0,14491,88
6,1,21,1,14491,88
6,1,21,3,14491,88
6,1,21,2,14491,88
6,1,21,4,14491,88
6,1,21,5,14491,88
6,1,21,6,14491,88
6,1,21,7,14491,88
6,1,21,8,14491,88
6,1,21,9,14491,88
6,1,22,0,15169,92
6,1,22,1,15169,92
6,1,22,2,15169,92
6,1,22,4,15169,92
6,1,22,3,15169,92
6,1,22,5,15169,92
6,1,22,6,15169,92
6,1,22,7,15169,92
6,1,22,8,15169,92
6,1,22,9,15169,92
6,1,23,0,15847,96
6,1,23,1,15847,96
6,1,23,2,15847,96
6,1,23,3,15847,96
6,1,23,4,15847,96
6,1,23,5,15847,96
6,1,23,6,15847,96
6,1,23,7,15847,96
6,1,23,8,15847,96
6,1,23,9,15847,96
6,1,24,0,16525,100
6,1,24,1,16525,100
6,1,24,2,16525,100
6,1,24,3,16525,100
6,1,24,4,16525,100
6,1,24,5,16525,100
6,1,24,6,16525,100
6,1,24,7,16525,100
6,1,24,8,16525,100
6,1,24,9,16525,100
6,2,5,0,3643,24
6,2,5,1,3643,24
6,2,5,2,3643,24
6,2,5,3,3643,24
6,2,5,4,3643,24
6,2,5,5,3643,24
6,2,5,7,3643,24
6,2,5,6,3643,24
6,2,5,8,3643,24
6,2,5,9,3643,24
6,2,6,0,4321,28
6,2,6,1,4321,28
6,2,6,2,4321,28
6,2,6,3,4321,28
6,2,6,4,4321,28
6,2,6,5,4321,28
6,2,6,6,4321,28
6,2,6,7,4321,28
6,2,6,8,4321,28
6,2,6,9,4321,28
6,2,7,0,4999,32
6,2,7,1,4999,32
6,2,7,2,4999,32
6,2,7,3,4999,32
6,2,7,4,4999,32
6,2,7,5,4999,32
6,2,7,6,4999,32
6,2,7,7,4999,32
6,2,7,9,4999,32
6,2,7,8,4999,32
6,2,8,0,5677,36
6,2,8,1,5677,36
6,2,8,2,5677,36
6,2,8,3,5677,36
6,2,8,4,5677,36
6,2,8,5,5677,36
6,2,8,7,5677,36
6,2,8,6,5677,36
6,2,8,8,5677,36
6,2,8,9,5677,36
6,2,9,0,6355,40
6,2,9,1,6355,40
6,2,9,2,6355,40
6,2,9,3,6355,40
6,2,9,5,6355,40
6,2,9,4,6355,40
6,2,9,6,6355,40
6,2,9,7,6355,40
6,2,9,8,6355,40
6,2,9,9,6355,40
6,2,10,0,7033,44
6,2,10,1,7033,44
6,2,10,2,7033,44
6,2,10,3,7033,44
